-89.722,3.296,-763,3.815
-39.917,2.563,381,2.289
15.381,1.831,1.907,1.144
72.510,1.099,4.578,-763
128.540,1.099,6.485,-3.052
178.345,732,8.392,-4.196
223.022,732,9.537,-6.485
260.010,366,11.444,-8.011
288.574,1.099,12.970,-9.537
311.646,366,13.351,-10.681
323.364,-366,14.114,-11.444
327.759,-732,14.496,-12.207
329.224,-732,13.733,-11.063
329.224,-732,12.970,-10.300
319.336,-366,12.970,-10.300
296.265,0,12.207,-9.918
265.869,366,11.826,-8.392
225.220,732,10.300,-6.485
180.176,1.099,8.392,-4.578
131.836,1.465,6.485,-2.670
81.665,3.296,4.578,-763
24.170,2.197,2.670,381
-33.691,4.028,763,2.670
-86.426,4.028,-1.144,4.578
-139.526,4.028,-3.052,6.104
-187.866,4.395,-4.959,7.629
-230.347,4.395,-6.485,9.537
-265.503,4.395,-7.629,10.681
-291.138,4.028,-8.774,11.063
-311.646,4.028,-9.537,11.444
-321.899,4.028,-9.918,11.826
-325.562,3.662,-8.774,11.444
-312.378,4.761,-8.392,11.063
-286.011,5.493,-8.392,11.063
-251.221,4.028,-7.248,9.537
-208.008,4.028,-6.104,9.155
-160.400,3.662,-4.196,6.866
-113.159,3.662,-1.907,5.341
-62.988,2.563,-381,3.052
-10.254,1.831,1.907,1.907
45.776,1.465,3.433,-381
100.708,1.099,5.341,-1.907
150.879,732,6.866,-3.433
198.486,732,8.774,-5.341
240.601,366,10.300,-7.248
274.658,366,11.826,-8.774
300.293,366,12.970,-10.300
318.604,0,13.351,-11.063
325.928,-732,14.114,-11.826
328.491,-366,14.114,-11.826
329.224,-366,13.351,-10.681
328.125,-732,12.970,-10.681
307.617,0,12.970,-10.300
280.884,0,11.444,-9.537
244.263,366,11.063,-7.629
202.515,732,9.155,-5.722
154.175,1.099,7.248,-3.052
105.469,1.831,4.959,-2.289
53.833,3.662,3.815,-381
-1.099,3.662,1.526,1.907
-60.059,3.296,-381,3.433
-113.892,4.028,-2.289,5.722
-164.063,4.395,-4.196,7.248
-207.642,4.395,-5.722,8.392
-247.559,4.395,-7.248,9.918
